1	32580
2	32686
3	32559
4	32522
5	32427
6	32429
7	32601
8	32605
9	32637
10	32521
11	32438
12	32325
13	32215
14	32012
15	31933
16	31451
17	31951
18	31908
19	32433
20	32179
21	32155
22	32770
23	32314
24	32525
25	33446
26	33352
27	32992
28	33338
29	32315
30	32515
31	32785
32	32073
33	32733
34	32370
35	32700
36	33205
37	32663
38	32919
39	32345
40	32717
41	33440
42	32722
43	32308
44	33482
45	32055
46	32693
47	32691
48	32361
49	31945
50	32828
51	32736
52	32155
53	33133
54	32011
55	32275
56	32459
57	32667
58	33341
59	32088
60	33238
61	32748
62	32132
63	13251
64	32398
65	32486
66	32607
67	32934
68	31947
69	32377
70	32128
71	33132
72	32371
73	33384
74	32592
75	32381
76	32917
77	33010
78	31743
79	32680
80	32456
81	32537
82	32291
83	33132
84	32229
